,index,name,ticker,identifier,sedol,weight,sector,sharesheld,localcurrency
0,0,APPLE INC,AAPL,037833100,2046251,6.689877,-,184676605.0,USD
1,1,MICROSOFT CORP,MSFT,594918104,2588173,6.07992,-,91391055.0,USD
2,2,NVIDIA CORP,NVDA,67066G104,2379504,5.399636,-,301072363.0,USD
3,3,AMAZON.COM INC,AMZN,023135106,2000019,3.641865,-,115953800.0,USD
4,4,META PLATFORMS INC CLASS A,META,30303M102,B7TL820,2.442644,-,26921907.0,USD
5,5,BERKSHIRE HATHAWAY INC CL B,BRK.B,084670702,2073390,2.128316,-,22533691.0,USD
6,6,ALPHABET INC CL A,GOOGL,02079K305,BYVY8G0,1.96989,-,71709083.0,USD
7,7,BROADCOM INC,AVGO,11135F101,BDZ78H9,1.772257,-,57624985.0,USD
8,8,ALPHABET INC CL C,GOOG,02079K107,BYY88Y7,1.622131,-,58117398.0,USD
9,9,TESLA INC,TSLA,88160R101,B616C79,1.484742,-,34402320.0,USD
10,10,JPMORGAN CHASE + CO,JPM,46625H100,2190385,1.468702,-,34374434.0,USD
11,11,ELI LILLY + CO,LLY,532457108,2516152,1.453781,-,9686542.0,USD
12,12,VISA INC CLASS A SHARES,V,92826C839,B2PZN04,1.273363,-,21186474.0,USD
13,13,EXXON MOBIL CORP,XOM,30231G102,2326618,1.05109,-,53514352.0,USD
14,14,NETFLIX INC,NFLX,64110L106,2857817,0.991891,-,5257117.0,USD
15,15,COSTCO WHOLESALE CORP,COST,22160K105,2701271,0.969152,-,5457150.0,USD
16,16,MASTERCARD INC   A,MA,57636Q104,B121557,0.957522,-,10012102.0,USD
17,17,WALMART INC,WMT,931142103,2936921,0.917386,-,53330268.0,USD
18,18,PROCTER + GAMBLE CO/THE,PG,742718109,2704407,0.877684,-,28826906.0,USD
19,19,UNITEDHEALTH GROUP INC,UNH,91324P102,2917766,0.876514,-,11313760.0,USD
20,20,JOHNSON + JOHNSON,JNJ,478160104,2475833,0.846798,-,29598474.0,USD
21,21,HOME DEPOT INC,HD,437076102,2434209,0.785226,-,12215830.0,USD
22,22,ABBVIE INC,ABBV,00287Y109,B92SR70,0.683997,-,21702661.0,USD
23,23,COCA COLA CO/THE,KO,191216100,2206657,0.63794,-,47598631.0,USD
24,24,PHILIP MORRIS INTERNATIONAL,PM,718172109,B2PKRQ3,0.568985,-,19117209.0,USD
25,25,BANK OF AMERICA CORP,BAC,060505104,2295677,0.56572,-,81401955.0,USD
26,26,SALESFORCE INC,CRM,79466L302,2310525,0.519318,-,11764938.0,USD
27,27,CHEVRON CORP,CVX,166764100,2838555,0.511711,-,20550060.0,USD
28,28,MCDONALD S CORP,MCD,580135101,2550707,0.509886,-,8811146.0,USD
29,29,ABBOTT LABORATORIES,ABT,002824100,2002305,0.509483,-,21325743.0,USD
30,30,INTL BUSINESS MACHINES CORP,IBM,459200101,2005973,0.496697,-,11368780.0,USD
31,31,CISCO SYSTEMS INC,CSCO,17275R102,2198163,0.488749,-,48962818.0,USD
32,32,WELLS FARGO + CO,WFC,949746101,2649100,0.485656,-,40432701.0,USD
33,33,LINDE PLC,LIN,G54950103,BNZHB81,0.482705,-,5854657.0,USD
34,34,ORACLE CORP,ORCL,68389X105,2661568,0.460213,-,19943148.0,USD
35,35,GENERAL ELECTRIC,GE,369604301,BL59CR9,0.452709,-,13194785.0,USD
36,36,MERCK + CO. INC.,MRK,58933Y105,2778844,0.445476,-,31104339.0,USD
37,37,PEPSICO INC,PEP,713448108,2681511,0.4389,-,16869157.0,USD
38,38,AT+T INC,T,00206R102,2831811,0.431523,-,88255813.0,USD
39,39,PALANTIR TECHNOLOGIES INC A,PLTR,69608A108,BN78DQ4,0.429504,-,25196730.0,USD
40,40,VERIZON COMMUNICATIONS INC,VZ,92343V104,2090571,0.405582,-,51779045.0,USD
41,41,ACCENTURE PLC CL A,ACN,G1151C101,B4BNMY3,0.395683,-,7683326.0,USD
42,42,INTUITIVE SURGICAL INC,ISRG,46120E602,2871301,0.380404,-,4381314.0,USD
43,43,US DOLLAR,-,999USDZ92,-,0.37911,-,2090376323.02,USD
44,44,THERMO FISHER SCIENTIFIC INC,TMO,883556102,2886907,0.370808,-,4703142.0,USD
45,45,INTUIT INC,INTU,461202103,2459020,0.364251,-,3441711.0,USD
46,46,GOLDMAN SACHS GROUP INC,GS,38141G104,2407966,0.36176,-,3836056.0,USD
47,47,SERVICENOW INC,NOW,81762P102,B80NXX8,0.352394,-,2533891.0,USD
48,48,WALT DISNEY CO/THE,DIS,254687106,2270726,0.346995,-,22224355.0,USD
49,49,UBER TECHNOLOGIES INC,UBER,90353T100,BK6N347,0.346714,-,25681741.0,USD
